neighbourhood,room_type,price,number_of_reviews
Roslindale,Entire home/apt,250,0
Roslindale,Private room,65,36
Roslindale,Private room,65,41
Roslindale,Private room,75,1
Roslindale,Private room,79,29
Roslindale,Private room,75,8
Roslindale,Entire home/apt,100,57
Roslindale,Private room,75,67
Roslindale,Private room,58,65
Roslindale,Entire home/apt,229,33
Roslindale,Private room,60,1
Roslindale,Private room,57,17
Roslindale,Entire home/apt,93,1
Roslindale,Entire home/apt,150,12
Roslindale,Entire home/apt,145,7
Roslindale,Private room,60,70
Roslindale,Private room,165,1
Roslindale,Private room,75,1
Roslindale,Private room,49,0
Roslindale,Private room,49,4
Roslindale,Private room,40,31
Roslindale,Entire home/apt,120,16
Roslindale,Private room,70,38
Roslindale,Entire home/apt,150,21
Roslindale,Entire home/apt,175,1
Roslindale,Private room,95,40
Roslindale,Private room,90,43
Roslindale,Private room,95,33
Roslindale,Private room,100,11
Roslindale,Private room,67,20
Roslindale,Private room,55,30
Roslindale,Entire home/apt,200,2
Roslindale,Entire home/apt,150,0
Roslindale,Private room,49,10
Roslindale,Private room,75,17
Roslindale,Entire home/apt,110,55
Roslindale,Private room,115,0
Roslindale,Entire home/apt,125,24
Roslindale,Entire home/apt,200,82
Roslindale,Private room,75,20
Roslindale,Private room,78,21
Roslindale,Private room,50,10
Roslindale,Private room,60,143
Roslindale,Private room,45,2
Roslindale,Entire home/apt,145,26
Roslindale,Private room,45,5
Roslindale,Private room,85,29
Roslindale,Private room,75,9
Roslindale,Private room,50,14
Roslindale,Private room,45,8
Roslindale,Private room,60,117
Roslindale,Entire home/apt,95,53
Roslindale,Entire home/apt,89,3
Roslindale,Entire home/apt,110,0
Roslindale,Private room,65,0
Roslindale,Entire home/apt,285,2
Jamaica Plain,Entire home/apt,140,1
Jamaica Plain,Private room,70,23
Jamaica Plain,Private room,95,14
Jamaica Plain,Private room,55,3
Jamaica Plain,Private room,80,57
Jamaica Plain,Private room,120,58
Jamaica Plain,Private room,65,1
Jamaica Plain,Private room,100,46
Jamaica Plain,Private room,65,68
Jamaica Plain,Private room,60,0
Jamaica Plain,Private room,63,3
Jamaica Plain,Private room,75,4
Jamaica Plain,Private room,65,2
Jamaica Plain,Private room,110,7
Jamaica Plain,Private room,46,18
Jamaica Plain,Private room,75,0
Jamaica Plain,Private room,62,9
Jamaica Plain,Private room,69,0
Jamaica Plain,Private room,69,4
Jamaica Plain,Private room,73,19
Jamaica Plain,Private room,85,22
Jamaica Plain,Private room,120,17
Jamaica Plain,Private room,125,1
Jamaica Plain,Private room,70,7
Jamaica Plain,Private room,100,0
Jamaica Plain,Private room,61,7
Jamaica Plain,Private room,125,132
Jamaica Plain,Private room,100,14
Jamaica Plain,Private room,27,0
Jamaica Plain,Private room,80,12
Jamaica Plain,Private room,85,3
Jamaica Plain,Private room,75,43
Jamaica Plain,Private room,57,1
Jamaica Plain,Private room,100,0
Jamaica Plain,Private room,40,0
Jamaica Plain,Private room,100,20
Jamaica Plain,Private room,70,9
Jamaica Plain,Entire home/apt,190,26
Jamaica Plain,Entire home/apt,149,17
Jamaica Plain,Entire home/apt,168,47
Jamaica Plain,Entire home/apt,205,9
Jamaica Plain,Private room,65,17
Jamaica Plain,Entire home/apt,75,5
Jamaica Plain,Entire home/apt,117,0
Jamaica Plain,Entire home/apt,429,35
Jamaica Plain,Private room,95,53
Jamaica Plain,Private room,69,0
Jamaica Plain,Private room,85,17
Jamaica Plain,Private room,69,13
Jamaica Plain,Entire home/apt,165,9
Jamaica Plain,Entire home/apt,150,2
Jamaica Plain,Entire home/apt,267,0
Jamaica Plain,Private room,87,6
Jamaica Plain,Private room,62,20
Jamaica Plain,Entire home/apt,110,6
Jamaica Plain,Entire home/apt,250,6
Jamaica Plain,Entire home/apt,150,14
Jamaica Plain,Entire home/apt,300,3
Jamaica Plain,Entire home/apt,119,13
Jamaica Plain,Entire home/apt,175,148
Jamaica Plain,Entire home/apt,195,24
Jamaica Plain,Entire home/apt,145,4
Jamaica Plain,Entire home/apt,200,10
Jamaica Plain,Private room,90,42
Jamaica Plain,Entire home/apt,210,41
Jamaica Plain,Private room,75,8
Jamaica Plain,Private room,46,2
Jamaica Plain,Private room,75,12
Jamaica Plain,Entire home/apt,500,8
Jamaica Plain,Private room,60,4
Jamaica Plain,Entire home/apt,130,66
Jamaica Plain,Entire home/apt,190,39
Jamaica Plain,Private room,100,24
Jamaica Plain,Entire home/apt,450,2
Jamaica Plain,Entire home/apt,399,18
Jamaica Plain,Entire home/apt,350,13
Jamaica Plain,Entire home/apt,200,32
Jamaica Plain,Private room,99,2
Jamaica Plain,Entire home/apt,295,0
Jamaica Plain,Private room,107,20
Jamaica Plain,Private room,69,18
Jamaica Plain,Private room,76,57
Jamaica Plain,Entire home/apt,75,48
Jamaica Plain,Private room,55,9
Jamaica Plain,Private room,65,2
Jamaica Plain,Private room,59,1
Jamaica Plain,Private room,88,5
Jamaica Plain,Entire home/apt,164,0
Jamaica Plain,Entire home/apt,90,139
Jamaica Plain,Entire home/apt,185,4
Jamaica Plain,Private room,80,0
Jamaica Plain,Private room,105,21
Jamaica Plain,Private room,90,192
Jamaica Plain,Entire home/apt,100,115
Jamaica Plain,Shared room,100,10
Jamaica Plain,Entire home/apt,200,11
Jamaica Plain,Entire home/apt,300,2
Jamaica Plain,Private room,60,0
Jamaica Plain,Entire home/apt,319,6
Jamaica Plain,Private room,85,91
