neighbourhood,room_type,price,number_of_reviews
Garden District,Entire home/apt,275,6
Garden District,Entire home/apt,448,0
Garden District,Entire home/apt,695,0
Garden District,Entire home/apt,109,55
Garden District,Entire home/apt,125,1
Garden District,Entire home/apt,133,15
Garden District,Entire home/apt,99,37
Garden District,Entire home/apt,1200,2
Garden District,Private room,241,0
Garden District,Entire home/apt,249,13
Garden District,Entire home/apt,229,27
Garden District,Entire home/apt,500,8
Garden District,Private room,120,248
Garden District,Entire home/apt,175,0
Garden District,Entire home/apt,139,10
Garden District,Entire home/apt,195,4
Garden District,Entire home/apt,71,0
Garden District,Private room,252,1
Garden District,Entire home/apt,125,0
Garden District,Entire home/apt,85,120
Garden District,Private room,110,254
Garden District,Private room,241,0
Garden District,Entire home/apt,750,42
Garden District,Entire home/apt,175,24
Garden District,Entire home/apt,200,40
Garden District,Entire home/apt,180,2
Garden District,Entire home/apt,300,1
Garden District,Entire home/apt,150,6
Garden District,Entire home/apt,650,0
Garden District,Entire home/apt,600,9
Garden District,Entire home/apt,700,0
Garden District,Entire home/apt,150,10
Garden District,Entire home/apt,99,0
Garden District,Entire home/apt,150,15
Garden District,Private room,175,0
Garden District,Entire home/apt,70,8
Garden District,Entire home/apt,140,19
Garden District,Entire home/apt,125,27
Garden District,Entire home/apt,135,6
Garden District,Entire home/apt,395,26
Garden District,Entire home/apt,500,3
Garden District,Entire home/apt,75,34
Garden District,Private room,115,211
Garden District,Entire home/apt,125,49
Garden District,Entire home/apt,450,28
Garden District,Entire home/apt,159,4
Garden District,Entire home/apt,395,5
Garden District,Private room,241,0
Garden District,Entire home/apt,60,5
Garden District,Entire home/apt,250,57
Garden District,Entire home/apt,350,13
Garden District,Private room,60,6
Garden District,Entire home/apt,150,34
Garden District,Private room,50,32
Garden District,Entire home/apt,149,0
Garden District,Private room,143,0
Garden District,Entire home/apt,700,0
Garden District,Entire home/apt,275,3
Garden District,Entire home/apt,150,18
Garden District,Private room,192,0
Garden District,Entire home/apt,115,5
Garden District,Entire home/apt,250,8
Garden District,Entire home/apt,99,6
Garden District,Private room,192,1
Garden District,Entire home/apt,97,0
Garden District,Private room,192,1
Little Woods,Shared room,30,3
Little Woods,Private room,75,2
Little Woods,Private room,85,0
Little Woods,Private room,100,1
Little Woods,Private room,52,2
Little Woods,Private room,54,1
Little Woods,Entire home/apt,400,0
Little Woods,Entire home/apt,65,1
Little Woods,Entire home/apt,180,24
Little Woods,Private room,80,2
Little Woods,Entire home/apt,199,22
Little Woods,Private room,75,13
Little Woods,Private room,90,2
Little Woods,Private room,75,15
Little Woods,Private room,99,0
Little Woods,Entire home/apt,200,0
Little Woods,Private room,49,0
Little Woods,Private room,75,6
Little Woods,Private room,159,3
Little Woods,Private room,150,1
Little Woods,Private room,75,0
Little Woods,Private room,75,0
Little Woods,Private room,85,6
Little Woods,Entire home/apt,80,3
Little Woods,Private room,75,1
Little Woods,Private room,70,1
Little Woods,Private room,55,7
Little Woods,Private room,45,4
Iberville,Entire home/apt,139,40
Iberville,Entire home/apt,200,5
Iberville,Private room,100,12
Iberville,Private room,190,8
Holy Cross,Entire home/apt,80,9
Holy Cross,Entire home/apt,95,2
Holy Cross,Private room,35,83
Holy Cross,Entire home/apt,100,4
Holy Cross,Entire home/apt,90,0
Holy Cross,Private room,55,8
Holy Cross,Private room,69,11
Holy Cross,Private room,40,89
Holy Cross,Private room,60,5
Holy Cross,Entire home/apt,69,80
Holy Cross,Private room,85,1
Holy Cross,Entire home/apt,85,8
Holy Cross,Entire home/apt,90,5
Holy Cross,Entire home/apt,350,1
Holy Cross,Private room,50,108
Holy Cross,Private room,89,46
Holy Cross,Private room,115,6
Holy Cross,Entire home/apt,62,34
Holy Cross,Entire home/apt,115,38
Holy Cross,Entire home/apt,75,94
Holy Cross,Private room,85,1
Holy Cross,Entire home/apt,57,52
Holy Cross,Entire home/apt,129,11
Holy Cross,Entire home/apt,175,21
Holy Cross,Private room,90,1
Holy Cross,Entire home/apt,95,56
Holy Cross,Entire home/apt,120,14
Holy Cross,Entire home/apt,289,6
Holy Cross,Entire home/apt,185,0
Holy Cross,Entire home/apt,200,0
Holy Cross,Entire home/apt,334,0
Holy Cross,Entire home/apt,60,118
Holy Cross,Private room,55,87
Holy Cross,Entire home/apt,99,1
U.S. Naval Base,Private room,75,0
U.S. Naval Base,Private room,100,4
U.S. Naval Base,Entire home/apt,277,0
U.S. Naval Base,Private room,100,4
U.S. Naval Base,Private room,79,10
Algiers Point,Entire home/apt,139,10
Algiers Point,Entire home/apt,95,14
Algiers Point,Entire home/apt,200,11
Algiers Point,Entire home/apt,78,92
Algiers Point,Entire home/apt,139,19
Algiers Point,Entire home/apt,85,16
Algiers Point,Entire home/apt,198,10
Algiers Point,Private room,100,7
Algiers Point,Entire home/apt,125,24
Algiers Point,Private room,150,0
Algiers Point,Private room,59,52
Algiers Point,Private room,97,10
Algiers Point,Entire home/apt,200,0
Algiers Point,Entire home/apt,133,0
Algiers Point,Entire home/apt,95,24
Algiers Point,Entire home/apt,150,51
Algiers Point,Entire home/apt,80,76
Algiers Point,Private room,99,146
Algiers Point,Private room,95,1
Algiers Point,Entire home/apt,99,19
Algiers Point,Entire home/apt,99,16
Algiers Point,Entire home/apt,110,45
Algiers Point,Entire home/apt,129,15
Algiers Point,Private room,90,17
Algiers Point,Entire home/apt,109,23
Algiers Point,Entire home/apt,300,0
Algiers Point,Entire home/apt,200,19
Algiers Point,Entire home/apt,175,2
Algiers Point,Entire home/apt,120,105
Algiers Point,Private room,98,46
Algiers Point,Entire home/apt,795,2
Algiers Point,Entire home/apt,169,10
Algiers Point,Entire home/apt,150,26
Algiers Point,Entire home/apt,120,83
Algiers Point,Entire home/apt,90,45
Algiers Point,Entire home/apt,164,0
Algiers Point,Entire home/apt,68,45
Algiers Point,Entire home/apt,245,3
Algiers Point,Entire home/apt,175,26
Algiers Point,Entire home/apt,138,4
Algiers Point,Private room,200,0
Algiers Point,Entire home/apt,84,65
Algiers Point,Private room,150,7
Algiers Point,Entire home/apt,250,9
Algiers Point,Entire home/apt,169,13
Algiers Point,Entire home/apt,95,8
Algiers Point,Private room,75,13
Algiers Point,Entire home/apt,149,40
Algiers Point,Private room,88,6
Algiers Point,Entire home/apt,235,6
Whitney,Entire home/apt,195,30
Whitney,Entire home/apt,200,8
Whitney,Entire home/apt,500,25
Whitney,Private room,49,15
Whitney,Entire home/apt,170,33
Whitney,Entire home/apt,95,50
Whitney,Entire home/apt,108,6
Whitney,Entire home/apt,135,0
Whitney,Private room,60,0
Whitney,Entire home/apt,175,4
Whitney,Entire home/apt,87,55
Audubon,Entire home/apt,55,69
Audubon,Entire home/apt,200,13
Audubon,Entire home/apt,1200,0
Audubon,Entire home/apt,120,10
Audubon,Private room,42,2
Audubon,Entire home/apt,60,61
Audubon,Entire home/apt,119,7
Audubon,Entire home/apt,120,9
Audubon,Private room,80,90
Audubon,Private room,45,0
Audubon,Private room,95,17
Audubon,Entire home/apt,40,1
Audubon,Entire home/apt,125,5
Audubon,Entire home/apt,150,8
Audubon,Entire home/apt,600,1
Audubon,Entire home/apt,200,2
Audubon,Entire home/apt,120,56
Audubon,Entire home/apt,1600,1
Audubon,Entire home/apt,250,0
Audubon,Entire home/apt,100,12
Audubon,Entire home/apt,195,4
Audubon,Entire home/apt,700,8
Audubon,Entire home/apt,350,3
Audubon,Entire home/apt,250,22
Audubon,Entire home/apt,200,3
Audubon,Entire home/apt,225,79
Audubon,Private room,90,42
Audubon,Entire home/apt,200,29
Audubon,Private room,125,22
Audubon,Entire home/apt,150,4
Audubon,Private room,150,5
Audubon,Entire home/apt,130,28
Audubon,Entire home/apt,1150,1
Audubon,Entire home/apt,150,0
Audubon,Entire home/apt,175,11
Audubon,Entire home/apt,150,12
Audubon,Entire home/apt,176,0
Audubon,Private room,65,2
Audubon,Entire home/apt,160,1
Audubon,Entire home/apt,99,140
Audubon,Entire home/apt,125,6
Audubon,Entire home/apt,175,0
Audubon,Private room,550,0
Audubon,Private room,100,3
Audubon,Private room,63,14
Audubon,Entire home/apt,135,4
Audubon,Entire home/apt,100,102
Audubon,Entire home/apt,110,6
Audubon,Entire home/apt,224,6
Audubon,Entire home/apt,200,51
Audubon,Entire home/apt,800,3
Audubon,Entire home/apt,199,11
Audubon,Entire home/apt,400,6
Audubon,Entire home/apt,249,17
Audubon,Entire home/apt,950,0
Audubon,Entire home/apt,450,1
Audubon,Entire home/apt,123,123
Audubon,Entire home/apt,1595,0
Audubon,Entire home/apt,185,61
Audubon,Private room,42,5
Audubon,Entire home/apt,250,0
Audubon,Entire home/apt,300,6
Audubon,Entire home/apt,129,3
Audubon,Private room,121,51
Audubon,Private room,80,90
Audubon,Entire home/apt,75,6
Audubon,Private room,90,0
Audubon,Entire home/apt,300,1
Audubon,Entire home/apt,650,35
Audubon,Entire home/apt,150,17
